iter	Passed	Remaining
958	10254	438
959	10265	427
960	10279	417
961	10289	406
962	10300	395
963	10307	384
964	10318	374
965	10329	363
966	10340	352
967	10351	342
968	10364	331
969	10374	320
970	10385	310
971	10401	299
972	10408	288
973	10416	278
974	10426	267
975	10437	256
976	10448	245
977	10459	235
978	10468	224
979	10477	213
980	10487	203
981	10494	192
982	10502	181
983	10513	170
984	10519	160
985	10526	149
986	10534	138
987	10539	128
988	10552	117
989	10562	106
990	10573	96
991	10589	85
992	10601	74
993	10612	64
994	10622	53
995	10635	42
996	10647	32
997	10657	21
998	10662	10
999	10670	0
